Term,Estimate,SE,95% CI,P
Intercept,93.408,1.159,91.137 to 95.679,<.001
profile_0,0.102,0.537,-0.950 to 1.155,.849
profile_1,-1.427,0.338,-2.090 to -0.764,<.001
profile_2,0.000,0.228,-0.448 to 0.447,.999
profile_4,-0.477,0.275,-1.017 to 0.063,.083
profile_5,0.276,0.218,-0.151 to 0.703,.206
CAH,0.826,0.318,0.202 to 1.450,.009
log2_beds_plus1,-0.652,0.073,-0.794 to -0.510,<.001
ownership_1,0.193,0.215,-0.229 to 0.614,.371
ownership_2,-2.678,0.343,-3.349 to -2.006,<.001
health_system_affiliated,0.095,0.351,-0.593 to 0.784,.787
teaching_intensity,0.341,0.373,-0.391 to 1.073,.361
high_dsh_flag,-1.848,0.260,-2.358 to -1.338,<.001
uncompensated_care_burden,-8.259,2.099,-12.372 to -4.145,<.001
high_uncompensated_care_flag,-0.436,0.335,-1.093 to 0.221,.194
nonmetro,0.171,0.219,-0.259 to 0.601,.436
year2025,0.405,0.246,-0.077 to 0.886,.099
