variable,hospital_group,onc_survey_year,mean_smd_before,mean_abs_smd_before,max_abs_smd_before,mean_smd_after,mean_abs_smd_after,max_abs_smd_after
CAH,Acute Care,2024,0.0,0.0,0.0,0.0,0.0,0.0
CAH,Acute Care,2025,0.0,0.0,0.0,0.0,0.0,0.0
CAH,Critical Access,2024,0.0,0.0,0.0,0.0,0.0,0.0
CAH,Critical Access,2025,0.0,0.0,0.0,0.0,0.0,0.0
health_system_affiliated,Acute Care,2024,0.011561377268596958,0.011561377268596958,0.011561377268596957,-0.00601882968238192,0.00601882968238192,0.007778895396123543
health_system_affiliated,Acute Care,2025,0.018410750502527353,0.018410750502527353,0.020545885602151173,0.01070764410099649,0.01070764410099649,0.012937752064528475
health_system_affiliated,Critical Access,2024,0.11423190987079321,0.11423190987079321,0.11423190987079322,-0.0011320280737612928,0.0029124265187092575,0.009342844698084286
health_system_affiliated,Critical Access,2025,0.08296091984568109,0.08296091984568109,0.0905832196715888,0.0006973574551226372,0.002224860277760401,0.007565363134063322
high_dsh_flag,Acute Care,2024,0.00528963338398269,0.00528963338398269,0.005314560295079527,0.019322210923337548,0.019322210923337548,0.0228142131473069
high_dsh_flag,Acute Care,2025,-0.00663159464532585,0.00663159464532585,0.0079739595080888,-0.0015492912456552775,0.0015492912456552775,0.0021202641397929157
high_dsh_flag,Critical Access,2024,0.0,0.0,0.0,0.0,0.0,0.0
high_dsh_flag,Critical Access,2025,0.0,0.0,0.0,0.0,0.0,0.0
high_uncompensated_care_flag,Acute Care,2024,0.0038141086947187887,0.0038141086947187887,0.003921729516369356,0.017278657990302364,0.017278657990302364,0.02258122565642117
high_uncompensated_care_flag,Acute Care,2025,-0.0065628191598346335,0.0065628191598346335,0.00782248351309129,-0.004279731191181502,0.004279731191181502,0.005614632029705873
high_uncompensated_care_flag,Critical Access,2024,-0.061285463384861474,0.061285463384861474,0.06128546338486148,0.01885639657215022,0.01885639657215022,0.025932896593921624
high_uncompensated_care_flag,Critical Access,2025,-0.1052902992891259,0.1052902992891259,0.11192283123744344,-0.026252665939602154,0.026252665939602154,0.0341299009306998
log2_beds_plus1,Acute Care,2024,0.01732424303437311,0.01732424303437311,0.01735938610616134,-0.008262109407029742,0.008262109407029742,0.010283388489654014
log2_beds_plus1,Acute Care,2025,0.015039099127907591,0.015039099127907591,0.015632495207735148,0.002516995477627853,0.002516995477627853,0.0032635103442980756
log2_beds_plus1,Critical Access,2024,0.21583402996671777,0.21583402996671777,0.21718547116893397,0.17050428650821586,0.17050428650821586,0.17650916012615167
log2_beds_plus1,Critical Access,2025,0.18371179732986115,0.18371179732986115,0.19471889500987946,0.09864662718479958,0.09864662718479958,0.1103818989087746
nonmetro,Acute Care,2024,0.006920040410112844,0.006920040410112844,0.0069200404101128436,0.013851609385501843,0.013851609385501843,0.01486396112662981
nonmetro,Acute Care,2025,-0.003743104975018928,0.003743104975018928,0.0037431049750189286,0.0022922631606491694,0.0022922631606491694,0.0024880333248730436
nonmetro,Critical Access,2024,-0.024493838813971387,0.024493838813971387,0.024493838813971387,-0.0015692916437381299,0.0018276224947035707,0.007052432420722471
nonmetro,Critical Access,2025,-0.049729357790691764,0.049729357790691764,0.049729357790691764,-0.01815965990900595,0.01815965990900595,0.02050098709683204
ownership_forprofit,Acute Care,2024,-0.01067900716101124,0.01067900716101124,0.010679007161011238,0.018774826272478912,0.018774826272478912,0.025397967621949253
ownership_forprofit,Acute Care,2025,-0.0019590917535221236,0.0019590917535221236,0.0033669025057015546,-0.0005627177733858916,0.0005627177733858916,0.0016692000093883207
ownership_forprofit,Critical Access,2024,-0.04773501843807097,0.04773501843807097,0.047735018438070986,-0.05356372198565561,0.05356372198565561,0.057850595901870895
ownership_forprofit,Critical Access,2025,0.01831693774652365,0.01831693774652365,0.02578919260610332,0.00731070387976931,0.00784928036177766,0.016433696786822275
ownership_nonprofit,Acute Care,2024,-0.0014960830831650545,0.0014960830831650545,0.0016077507374091201,-0.0105503924702466,0.0105503924702466,0.013415559065475835
ownership_nonprofit,Acute Care,2025,0.0001663069552200215,0.00048000733694052703,0.0010927095261557874,0.0003305499096752136,0.0005019528997075187,0.0015489347689861667
ownership_nonprofit,Critical Access,2024,-0.043379358468792546,0.043379358468792546,0.05042282038019583,0.027058367009293836,0.027058367009293836,0.03437764573851169
ownership_nonprofit,Critical Access,2025,-0.041321608712957605,0.041321608712957605,0.04964255304066888,-0.013679146710372661,0.013679146710372661,0.022212049650420333
profile_0,Acute Care,2024,-0.01204574668753894,0.01204574668753894,0.01204574668753894,0.005139963065723078,0.005139963065723078,0.006413034097367869
profile_0,Acute Care,2025,-0.010573514064453124,0.010573514064453124,0.010573514064453126,-0.0032583020489034497,0.0032583020489034497,0.003604915072582295
profile_0,Critical Access,2024,-0.1198325574049526,0.1198325574049526,0.11983255740495259,-0.0399704429992632,0.0399704429992632,0.04631642493662003
profile_0,Critical Access,2025,-0.06178818170355467,0.06178818170355467,0.061788181703554684,-0.021711235375280465,0.021711235375280465,0.0253872365274997
profile_1,Acute Care,2024,-0.00738707100415093,0.00738707100415093,0.007387071004150932,-0.010518318090073375,0.010518318090073375,0.011316832544608201
profile_1,Acute Care,2025,0.0010160930632852022,0.0010160930632852022,0.001016093063285202,0.0018957252598048719,0.0018957252598048719,0.0020018045521991677
profile_1,Critical Access,2024,-0.024062153245498773,0.024062153245498773,0.024062153245498777,0.025642539563492606,0.025642539563492606,0.03061083274751478
profile_1,Critical Access,2025,-0.08478613587494746,0.08478613587494746,0.08478613587494743,-0.025392236178229076,0.025392236178229076,0.02958779362359564
profile_2,Acute Care,2024,0.0027699295953769057,0.0027699295953769057,0.002769929595376906,0.00044027091330726086,0.000627374307193234,0.0020125595000542247
profile_2,Acute Care,2025,-0.0012085477761259304,0.0012085477761259304,0.00120854777612593,-0.0004701991496775013,0.0004701991496775013,0.000644628989942107
profile_2,Critical Access,2024,0.05429153981753811,0.05429153981753811,0.05429153981753811,0.010169047331217509,0.010169047331217509,0.012314758759348798
profile_2,Critical Access,2025,0.03963456320922565,0.03963456320922565,0.03963456320922565,0.019287246523612984,0.019287246523612984,0.022241574194772865
profile_4,Acute Care,2024,0.0048062147578206305,0.0048062147578206305,0.0048062147578206305,0.0025678609810879157,0.0025678609810879157,0.003098091893707389
profile_4,Acute Care,2025,0.0035662428219650154,0.0035662428219650154,0.0035662428219650146,-3.936945496320286e-05,4.9285481447485144e-05,0.00013467199698374862
profile_4,Critical Access,2024,0.009328282911762806,0.009328282911762806,0.009328282911762808,-0.013850438597614501,0.013850438597614501,0.017665116793273938
profile_4,Critical Access,2025,0.021766806198849457,0.021766806198849457,0.021766806198849457,0.008778958264308485,0.008778958264308485,0.010796797322539766
profile_5,Acute Care,2024,0.004487075340679608,0.004487075340679608,0.004487075340679609,0.002143897203442582,0.002143897203442582,0.002524179496016371
profile_5,Acute Care,2025,0.0007037352946692479,0.0007037352946692479,0.0007037352946692479,0.0003526890071121137,0.0003526890071121137,0.0004780758861404364
profile_5,Critical Access,2024,0.045052401703559196,0.045052401703559196,0.0450524017035592,0.005394102279442774,0.005394102279442774,0.007553132654039589
profile_5,Critical Access,2025,0.10606503478884784,0.10606503478884784,0.10606503478884784,0.02496748519044833,0.02496748519044833,0.028758721940018564
teaching_intensity,Acute Care,2024,0.006647275401829715,0.006647275401829715,0.006710775696542458,-0.0014796662891735513,0.0014796662891735513,0.0023153983865008905
teaching_intensity,Acute Care,2025,0.00329891152042494,0.00329891152042494,0.00331093565910871,0.00021475453327211977,0.00021475453327211977,0.0006012376967088164
teaching_intensity,Critical Access,2024,0.03886865006946512,0.03886865006946512,0.03886865006946511,0.008871943146348493,0.008871943146348493,0.009219373407465613
teaching_intensity,Critical Access,2025,0.021707492585785266,0.021707492585785266,0.03147200558246996,0.008025666500508549,0.008751429382556469,0.010769033218982524
