hospital_group,contrast,estimate,se,df,ci_low,ci_high,p_value,within_var,between_var
Acute Care,Profile 5 minus Profile 3,0.12055419751670851,0.2147066188194775,12023792.45804491,-0.3002630849730461,0.5413714800064632,0.5744680693323219,0.046040983033541885,5.518964890525791e-05
Critical Access,Profile 5 minus Profile 3,1.0072750289416306,0.7556129107841191,12378343.270057619,-0.4736992072596127,2.4882492651428736,0.18251314576440272,0.5702435047843002,0.0006736820565227447
