analysis,global_statistic,global_df,global_p,contrast_estimate,contrast_se,contrast_ci_low,contrast_ci_high,contrast_p,hospital_group
Acute Care stratified,39.741425268015966,5,1.6838254274221994e-07,0.20106081084030475,0.21223628481145357,-0.21491468994034535,0.6170363116209548,0.3434634331233829,Acute Care
Critical Access stratified,1.7380753838287653,5,0.8840684235869699,0.7984408788861994,0.9660160113643972,-1.0949158727086865,2.6917976304810853,0.40850371782909234,Critical Access
