analysis,global_statistic,global_df,global_p,contrast_estimate,contrast_se,contrast_ci_low,contrast_ci_high,contrast_p
Primary MICE + IPOW + HC3,29.0319471391483,5,2.2855353712037596e-05,0.2759584405062885,0.21805240691289493,-0.1514164681798127,0.7033333491923897,0.20567061995680996
Completed-survey-count precision weighting,30.567247364854623,5,1.1402479818301543e-05,0.1430421735094808,0.22965689360219532,-0.30707706675215674,0.5931614137711184,0.533382017883604
State-clustered standard errors,14.417923893894933,5,0.01316170169237966,0.2759584405062885,0.28483190776994605,-0.28230186028867144,0.8342187413012484,0.33262171254388334
CMS ownership substituted,48.91910369684257,5,2.3053646446142157e-09,0.31930924104456954,0.2185334091905372,-0.10900838341989899,0.7476268655090381,0.14397535597364258
Fractional logit average marginal effect,30.196397114627043,5,1.3492162972657817e-05,0.28901852190585375,0.21377403531939712,-0.12997092262361704,0.7080079664353245,0.1763812827860402
Unweighted complete-covariate complete case,30.31289614791756,5,1.2797721514740742e-05,0.23374241006564844,0.21471336593319507,-0.1870880541627717,0.6545728742940686,0.2763191395043272
2025 ONC responses only,31.04239164121205,5,9.188436835885699e-06,0.34327828627299956,0.23213474888333438,-0.11169752293807456,0.7982540954840737,0.13919678302544283
Exclude all-zero coded profile,26.335148575769907,4,2.7082618075404414e-05,0.24887304474004845,0.21697665336867616,-0.17639342716375012,0.6741395166438471,0.25138007709176247
