profile_category,estimate,se,df,ci_low,ci_high,p_value,within_var,between_var
0,86.91916552744665,0.5000087474254064,52910991.1660888,85.93916636811991,87.89916468677339,0.0,0.24985893120566485,0.00014268218691331378
1,85.38961972875926,0.29399911098603504,1579042.3833097962,84.81339161805052,85.965847839468,0.0,0.08613564943080322,0.0002855503140721192
2,86.81635472607431,0.1667048325712932,82928800.23524481,86.48961925341702,87.1430901987316,0.0,0.02777719909403701,1.266867484370196e-05
3,86.81676515509011,0.1712603111121386,31232696.049879357,86.48110110032115,87.15242920985906,0.0,0.02930721787607461,2.178693919228005e-05
4,86.33977442788895,0.2045640523421771,177854601.16361916,85.93883625276673,86.74071260301118,0.0,0.041832774131551204,1.3026075335010264e-05
5,87.09272359559641,0.1614225395714283,7329000.536555623,86.77634117949371,87.40910601169911,0.0,0.026015281373523075,3.995705539643524e-05
