outcome_field,outcome,global_statistic,global_df,global_p,contrast_estimate,contrast_se,contrast_ci_low,contrast_ci_high,contrast_p,global_bh_fdr
medicines_always_pct,Communication about medicines: Always,12.878669605624799,5,0.024542686148917046,0.2870176733740788,0.3497442633231905,-0.39846856952212595,0.9725039162702835,0.4118456070746756,0.024542686148917046
overall_rating_9_10_pct,Overall hospital rating: 9–10,22.70127646320375,5,0.0003849632565740304,0.08680617532688428,0.504016492327661,-0.901048048345127,1.0746603989988954,0.863257627850468,0.000481204070717538
definitely_recommend_pct,Definitely recommend hospital,28.18091264212134,5,3.355137119620169e-05,-0.3435290045920084,0.5893095385625446,-1.4985545330600907,0.811496523876074,0.5599372362238016,8.387842799050423e-05
nurse_communication_always_pct,Nurse communication: Always,30.52898628997853,5,1.1602276697220005e-05,0.0936127812897773,0.26613728868773157,-0.4280068172868073,0.6152323798663619,0.7250286170851499,5.801138348610002e-05
doctor_communication_always_pct,Doctor communication: Always,24.60738996569029,5,0.00016588001487627795,0.06946923482380818,0.2685700736567354,-0.4569185155855604,0.5958569852331768,0.7958950067943552,0.0002764666914604632
