variable,mean_smd_before,mean_abs_smd_before,max_abs_smd_before,mean_smd_after,mean_abs_smd_after,max_abs_smd_after
CAH,-0.13825125431205504,0.13825125431205504,0.13825125431205507,-0.15711616890339114,0.15711616890339114,0.15928903779385428
profile_0,-0.04493109165569534,0.04493109165569534,0.044931091655695345,-0.026479977569570656,0.026479977569570656,0.027784329568901162
profile_1,-0.03286674279169041,0.03286674279169041,0.032866742791690405,-0.018823663012552873,0.018823663012552873,0.01988286731167531
profile_2,-0.0057760044414723755,0.0057760044414723755,0.005776004441472376,-0.013619857310483988,0.013619857310483988,0.014040274242427323
profile_4,0.014044325080271664,0.014044325080271664,0.014044325080271664,0.008948342716867275,0.008948342716867275,0.009419636879098482
profile_5,0.03956839512642844,0.03956839512642844,0.03956839512642845,0.02752238557759803,0.02752238557759803,0.02826345578643721
log2_beds_plus1,0.12131470440090289,0.12131470440090289,0.12192879180502439,0.12215899350820159,0.12215899350820159,0.12439467705710593
ownership_nonprofit,-0.03405821953242176,0.03405821953242176,0.035830198686243264,-0.03226180056373777,0.03226180056373777,0.03317366053391406
ownership_forprofit,0.024046896549918706,0.024046896549918706,0.02519829453764546,0.02964525051500492,0.02964525051500492,0.030555537760106305
health_system_affiliated,0.09402248023412454,0.09402248023412454,0.09576960856599619,0.07114334808738772,0.07114334808738772,0.07335831733669254
teaching_intensity,0.029254552167827068,0.029254552167827068,0.029399620891154075,0.02945144128116351,0.02945144128116351,0.0298965173072776
high_dsh_flag,0.02924095808750631,0.02924095808750631,0.02953142954675538,0.03918070462213424,0.03918070462213424,0.03973781281724284
uncompensated_care_burden,-0.03864693914290834,0.03864693914290834,0.040911970768307535,-0.01757460941618447,0.01757460941618447,0.019022890354612455
high_uncompensated_care_flag,-0.03783934675782465,0.03783934675782465,0.039975220631552184,-0.01704975226383123,0.01704975226383123,0.01843590757718297
nonmetro,-0.08540684008292203,0.08540684008292203,0.08540684008292204,-0.08572725232019632,0.08572725232019632,0.08686619340319593
year2025,0.014449074653770887,0.014449074653770887,0.01444907465377089,0.014751952025514225,0.014751952025514225,0.015126513995083767
